subj,prop,id,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,obj_length,subj_length
Stevie Cameron,occupation,2657379,journalist,1144831,22,663400,[],"[""journo"",""journalists""]",http://www.wikidata.org/entity/Q3499310,http://www.wikidata.org/entity/Q1930187,Stevie Cameron,Journalist,792,24952,What is Stevie Cameron's occupation?,"[""journalist"", ""journo"", ""journalists""]",10,14
Maurice Le Boucher,occupation,4805477,composer,2114786,22,1189033,[],[],http://www.wikidata.org/entity/Q635474,http://www.wikidata.org/entity/Q36834,Maurice Le Boucher,Composer,83,28389,What is Maurice Le Boucher's occupation?,"[""composer"", ""organist"", ""organ player""]",8,18
Jean Gabriel Marie,occupation,836769,composer,356988,22,1189033,[],[],http://www.wikidata.org/entity/Q16006794,http://www.wikidata.org/entity/Q36834,Jean Gabriel Marie (1907–1970),Composer,72,28389,What is Jean Gabriel Marie's occupation?,"[""composer""]",8,18
Duilio Forte,occupation,2297573,architect,1002673,22,1296792,[],[],http://www.wikidata.org/entity/Q3041054,http://www.wikidata.org/entity/Q42973,Duilio Forte,Architect,133,28889,What is Duilio Forte's occupation?,"[""architect""]",9,12
Maurizio Belpietro,occupation,2876983,journalist,1232402,22,663400,[],"[""journo"",""journalists""]",http://www.wikidata.org/entity/Q3852522,http://www.wikidata.org/entity/Q1930187,Maurizio Belpietro,Journalist,333,24952,What is Maurizio Belpietro's occupation?,"[""journalist"", ""journo"", ""journalists"", ""television presenter"", ""host"", ""hostess"", ""TV host"", ""television host"", ""TV presenter"", ""TV anchor"", ""television anchor""]",10,18
Todd Verow,occupation,1881398,actor,827104,22,1114174,[],"[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q2438517,http://www.wikidata.org/entity/Q33999,Todd Verow,Actor,383,81374,What is Todd Verow's occupation?,"[""cinematographer"", ""director of photography"", ""DOP"", ""film director"", ""movie director"", ""director"", ""motion picture director"", ""actor"", ""actress"", ""actors"", ""actresses""]",5,10
Michael Shelley,occupation,5157909,singer-songwriter,2281924,22,1498032,[],"[""singer songwriter"",""singer\/songwriter"",""singersongwriter"",""singer-songwriter""]",http://www.wikidata.org/entity/Q6834354,http://www.wikidata.org/entity/Q488205,Michael Shelley (musician),Singer-songwriter,167,5896,What is Michael Shelley's occupation?,"[""singer-songwriter"", ""singer songwriter"", ""singer/songwriter"", ""singersongwriter"", ""singer-songwriter""]",17,15
Ali Hillis,occupation,2263587,actor,987396,22,1114174,"[""Alecia Hillis""]","[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q299519,http://www.wikidata.org/entity/Q33999,Ali Hillis,Actor,5804,81374,What is Ali Hillis's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",5,10
Dima Grigoriev,occupation,3917737,mathematician,1710103,22,520646,"[""Dmitry Grigoryev""]",[],http://www.wikidata.org/entity/Q5277134,http://www.wikidata.org/entity/Q170790,Dima Grigoriev,Mathematician,137,23111,What is Dima Grigoriev's occupation?,"[""mathematician""]",13,14
Erwin Schulhoff,occupation,6375207,composer,2872038,22,1189033,[],[],http://www.wikidata.org/entity/Q89540,http://www.wikidata.org/entity/Q36834,Erwin Schulhoff,Composer,1753,28389,What is Erwin Schulhoff's occupation?,"[""composer"", ""pianist""]",8,15
Ameer Sultan,occupation,3310098,film director,1421207,22,854535,[],"[""movie director"",""director"",""motion picture director""]",http://www.wikidata.org/entity/Q4742138,http://www.wikidata.org/entity/Q2526255,Ameer (director),Film director,9708,45772,What is Ameer Sultan's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""actor"", ""actress"", ""actors"", ""actresses""]",13,12
Peter,occupation,2576955,actor,1111437,22,1114174,"[""Shinnosuke Ikehata"",""P\u00eet\u00e2""]","[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q3389321,http://www.wikidata.org/entity/Q33999,Peter (actor),Actor,4026,81374,What is Peter's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",5,5
"Francis Howard, 5th Baron Howard of Effingham",occupation,584816,politician,239320,22,2834605,[],"[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q1441549,http://www.wikidata.org/entity/Q82955,"Francis Howard, 5th Baron Howard of Effingham",Politician,353,25692,"What is Francis Howard, 5th Baron Howard of Effingham's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",10,45
Petru Vlah,occupation,5436371,politician,2416946,22,2834605,[],"[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q7179187,http://www.wikidata.org/entity/Q82955,Petru Vlah,Politician,45,25692,What is Petru Vlah's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",10,10
Havergal Brian,occupation,4185917,composer,1835550,22,1189033,"[""William""]",[],http://www.wikidata.org/entity/Q552046,http://www.wikidata.org/entity/Q36834,Havergal Brian,Composer,1728,28389,What is Havergal Brian's occupation?,"[""composer""]",8,14
Edward Norton,occupation,3998967,politician,1747225,22,2834605,"[""Hon. Edward Norton""]","[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q5344648,http://www.wikidata.org/entity/Q82955,Edward Norton (MP),Politician,111,25692,What is Edward Norton's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",10,13
Robert Voisey,occupation,1398108,composer,625477,22,1189033,[],[],http://www.wikidata.org/entity/Q185366,http://www.wikidata.org/entity/Q36834,Robert Voisey,Composer,211,28389,What is Robert Voisey's occupation?,"[""composer""]",8,13
Min,occupation,3553978,actor,1536322,22,1114174,"[""Lee Min Young""]","[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q495099,http://www.wikidata.org/entity/Q33999,Min (South Korean singer),Actor,1440,81374,What is Min's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",5,3
Samuel Wells Williams,occupation,1790865,missionary,791184,22,760001,"[""S. Wells Williams"",""S.W. Williams""]","[""Christian missionary""]",http://www.wikidata.org/entity/Q2311485,http://www.wikidata.org/entity/Q219477,Samuel Wells Williams,Missionary,542,20559,What is Samuel Wells Williams's occupation?,"[""missionary"", ""Christian missionary""]",10,21
C. E. Webber,occupation,1505982,playwright,671860,22,748919,"[""Cecil Edwin Webber""]","[""dramatist"",""playwrite"",""scriptwriter""]",http://www.wikidata.org/entity/Q1945715,http://www.wikidata.org/entity/Q214917,C. E. Webber,Playwright,2107,11213,What is C. E. Webber's occupation?,"[""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter""]",10,12
Judith Rakers,occupation,4760447,journalist,2093133,22,663400,"[""Judith Deborah Rakers"",""Judith Deborah Rakers-Pfaff""]","[""journo"",""journalists""]",http://www.wikidata.org/entity/Q62867,http://www.wikidata.org/entity/Q1930187,Judith Rakers,Journalist,1118,24952,What is Judith Rakers's occupation?,"[""journalist"", ""journo"", ""journalists"", ""television presenter"", ""host"", ""hostess"", ""TV host"", ""television host"", ""TV presenter"", ""TV anchor"", ""television anchor""]",10,13
Alice,occupation,2179514,singer-songwriter,952308,22,1498032,"[""Carla Bissi""]","[""singer songwriter"",""singer\/songwriter"",""singersongwriter"",""singer-songwriter""]",http://www.wikidata.org/entity/Q286547,http://www.wikidata.org/entity/Q488205,Alice (singer),Singer-songwriter,1652,5896,What is Alice's occupation?,"[""pianist"", ""singer-songwriter"", ""singer songwriter"", ""singer/songwriter"", ""singersongwriter"", ""singer-songwriter""]",17,5
Jörg A. Eggers,occupation,283289,screenwriter,114552,22,945070,[],"[""scenarist"",""writer"",""screen writer"",""script writer"",""scriptwriter""]",http://www.wikidata.org/entity/Q119423,http://www.wikidata.org/entity/Q28389,Jörg A. Eggers,Screenwriter,56,26544,What is Jörg A. Eggers's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]",12,14
Toni Jennings,occupation,6016753,politician,2701472,22,2834605,"[""Antoinette Jennings""]","[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q7821284,http://www.wikidata.org/entity/Q82955,Toni Jennings,Politician,533,25692,What is Toni Jennings's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",10,13
Henry Tizard,occupation,6384726,chemist,2875946,22,1988901,"[""Sir Henry Thomas Tizard""]","[""chemists""]",http://www.wikidata.org/entity/Q901295,http://www.wikidata.org/entity/Q593644,Henry Tizard,Chemist,1126,11827,What is Henry Tizard's occupation?,"[""chemist"", ""chemists""]",7,12
Suzanne Lilar,occupation,1479687,playwright,660658,22,748919,"[""Suzanne Verbist""]","[""dramatist"",""playwrite"",""scriptwriter""]",http://www.wikidata.org/entity/Q1924889,http://www.wikidata.org/entity/Q214917,Suzanne Lilar,Playwright,370,11213,What is Suzanne Lilar's occupation?,"[""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter""]",10,13
James J. Gibson,occupation,5646991,psychologist,2516414,22,744319,"[""James Jerome Gibson""]","[""psychologists""]",http://www.wikidata.org/entity/Q737823,http://www.wikidata.org/entity/Q212980,James J. Gibson,Psychologist,2697,26129,What is James J. Gibson's occupation?,"[""psychologist"", ""psychologists""]",12,15
G.E.M.,occupation,4999192,singer-songwriter,2206596,22,1498032,"[""Gloria Tang"",""Tang Tsz-kei"",""Gloria Tang Tsz-Kei"",""GEM"",""Get Everybody Moving""]","[""singer songwriter"",""singer\/songwriter"",""singersongwriter"",""singer-songwriter""]",http://www.wikidata.org/entity/Q665090,http://www.wikidata.org/entity/Q488205,G.E.M.,Singer-songwriter,11127,5896,What is G.E.M.'s occupation?,"[""singer-songwriter"", ""singer songwriter"", ""singer/songwriter"", ""singersongwriter"", ""singer-songwriter""]",17,6
Huntington Wilson,occupation,190883,diplomat,77163,22,665281,"[""Francis Mairs Huntington Wilson""]",[],http://www.wikidata.org/entity/Q11327110,http://www.wikidata.org/entity/Q193391,Huntington Wilson,Diplomat,152,14886,What is Huntington Wilson's occupation?,"[""diplomat""]",8,17
Gaziza Zhubanova,occupation,650179,composer,274377,22,1189033,"[""Gaziza Akhmetkyzy Zhubanova""]",[],http://www.wikidata.org/entity/Q1491329,http://www.wikidata.org/entity/Q36834,Gaziza Zhubanova,Composer,128,28389,What is Gaziza Zhubanova's occupation?,"[""composer""]",8,16
Richard Rishi,occupation,5578702,actor,2486263,22,1114174,[],"[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q7328681,http://www.wikidata.org/entity/Q33999,Richard Rishi,Actor,53974,81374,What is Richard Rishi's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",5,13
Guo Gengmao,occupation,2823825,politician,1211908,22,2834605,[],"[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q377372,http://www.wikidata.org/entity/Q82955,Guo Gengmao,Politician,125,25692,What is Guo Gengmao's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",10,11
Bae Geu-rin,occupation,394743,actor,158813,22,1114174,[],"[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q12961881,http://www.wikidata.org/entity/Q33999,Bae Geu-rin,Actor,505,81374,What is Bae Geu-rin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",5,11
Per Risvik,occupation,5417853,politician,2409080,22,2834605,[],"[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q7166781,http://www.wikidata.org/entity/Q82955,Per Risvik,Politician,33,25692,What is Per Risvik's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",10,10
Amitabh Bachchan,occupation,6493078,film producer,2917223,22,1077200,"[""Big B""]","[""movie producer"",""producer""]",http://www.wikidata.org/entity/Q9570,http://www.wikidata.org/entity/Q3282637,Amitabh Bachchan,Film producer,306074,58642,What is Amitabh Bachchan's occupation?,"[""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",13,16
Jilly Cooper,occupation,1094065,journalist,474011,22,663400,[],"[""journo"",""journalists""]",http://www.wikidata.org/entity/Q1689012,http://www.wikidata.org/entity/Q1930187,Jilly Cooper,Journalist,3857,24952,What is Jilly Cooper's occupation?,"[""journalist"", ""journo"", ""journalists"", ""novelist""]",10,12
Jean-Baptiste de Lamarck,occupation,6269853,biologist,2830398,22,2855862,"[""Jean-Baptiste Lamarck"",""Jean-Baptiste Pierre Antoine de Monet, Chevalier de Lamarck"",""Lamarck"",""Lam.""]","[""biologists""]",http://www.wikidata.org/entity/Q82122,http://www.wikidata.org/entity/Q864503,Jean-Baptiste Lamarck,Biologist,14972,10281,What is Jean-Baptiste de Lamarck's occupation?,"[""biologist"", ""biologists""]",9,24
Robert Viharo,occupation,970059,actor,413193,22,1114174,"[""George Viharo""]","[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q16239300,http://www.wikidata.org/entity/Q33999,Robert Viharo,Actor,1072,81374,What is Robert Viharo's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",5,13
Tsutomu Seki,occupation,3121959,astronomer,1329397,22,64448,[],[],http://www.wikidata.org/entity/Q453649,http://www.wikidata.org/entity/Q11063,Tsutomu Seki,Astronomer,195,12368,What is Tsutomu Seki's occupation?,"[""astronomer""]",10,12
Ge You,occupation,2043042,actor,894905,22,1114174,[],"[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q2658847,http://www.wikidata.org/entity/Q33999,Ge You,Actor,2195,81374,What is Ge You's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",5,6
Leona Detiège,occupation,1758574,politician,777898,22,2834605,"[""Leona Detiege""]","[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q2261198,http://www.wikidata.org/entity/Q82955,Leona Detiège,Politician,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",10,13
Tracy Coogan,occupation,6027741,actor,2706594,22,1114174,[],"[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q7831709,http://www.wikidata.org/entity/Q33999,Tracy Coogan,Actor,118,81374,What is Tracy Coogan's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",5,12
Edward Corser,occupation,3994636,politician,1745623,22,2834605,"[""Edward Bernard Cresset Corser""]","[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q5342416,http://www.wikidata.org/entity/Q82955,Edward Corser,Politician,74,25692,What is Edward Corser's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",10,13
Richard Franck,occupation,5154012,composer,2280310,22,1189033,[],[],http://www.wikidata.org/entity/Q683134,http://www.wikidata.org/entity/Q36834,Richard Franck,Composer,139,28389,What is Richard Franck's occupation?,"[""composer"", ""pianist""]",8,14
Gino Coppedè,occupation,4155023,architect,1821469,22,1296792,"[""Gino Coppede"",""Gino Copped""]",[],http://www.wikidata.org/entity/Q549387,http://www.wikidata.org/entity/Q42973,Gino Coppedè,Architect,344,28889,What is Gino Coppedè's occupation?,"[""architect""]",9,12
Herman A. Barnett,occupation,837389,surgeon,357213,22,2662279,[],"[""surgeons""]",http://www.wikidata.org/entity/Q16007345,http://www.wikidata.org/entity/Q774306,Herman A. Barnett,Surgeon,86,12671,What is Herman A. Barnett's occupation?,"[""surgeon"", ""surgeons""]",7,17
Ludwig Lichtschein,occupation,5032330,rabbi,2222741,22,177374,[],"[""Rav""]",http://www.wikidata.org/entity/Q6699275,http://www.wikidata.org/entity/Q133485,Ludwig Lichtschein,Rabbi,58,22447,What is Ludwig Lichtschein's occupation?,"[""rabbi"", ""Rav""]",5,18
Andrew Trischitta,occupation,969078,actor,412617,22,1114174,[],"[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q16237051,http://www.wikidata.org/entity/Q33999,Andrew Trischitta,Actor,154,81374,What is Andrew Trischitta's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",5,17
Rodrigo Cortés,occupation,1446642,screenwriter,646784,22,945070,"[""Rodrigo Cortes""]","[""scenarist"",""writer"",""screen writer"",""script writer"",""scriptwriter""]",http://www.wikidata.org/entity/Q1887437,http://www.wikidata.org/entity/Q28389,Rodrigo Cortés,Screenwriter,1894,26544,What is Rodrigo Cortés's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]",12,14
Pierre Chatenet,occupation,2629344,politician,1132705,22,2834605,[],"[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q346154,http://www.wikidata.org/entity/Q82955,Pierre Chatenet,Politician,140,25692,What is Pierre Chatenet's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",10,15
María Elena Marqués,occupation,1536600,actor,686774,22,1114174,"[""Mar\u00eda Elena Marqu\u00e9s Rangel"",""Maria Elena Marques"",""Maria Elena Marques Rangel""]","[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q1964025,http://www.wikidata.org/entity/Q33999,María Elena Marqués,Actor,839,81374,What is María Elena Marqués's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",5,19
Gina Krog,occupation,2051142,politician,898446,22,2834605,"[""Jorgine Anna Sverdrup Krog"",""J\u00f8rgine Sverdrup"",""J\u00f8rgine Anna Sverdrup"",""J\u00f8rgine Krog"",""J\u00f8rgine Anna Krog"",""Gina""]","[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q266912,http://www.wikidata.org/entity/Q82955,Gina Krog,Politician,355,25692,What is Gina Krog's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",10,9
Chitra Bahadur K.C.,occupation,2765775,politician,1187609,22,2834605,[],"[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q3675222,http://www.wikidata.org/entity/Q82955,Chitra Bahadur K.C.,Politician,304,25692,What is Chitra Bahadur K.C.'s occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",10,19
Fritz Goos,occupation,610662,astronomer,249949,22,64448,"[""Hermann Fritz Gustav Goos""]",[],http://www.wikidata.org/entity/Q1466410,http://www.wikidata.org/entity/Q11063,Fritz Goos,Astronomer,50,12368,What is Fritz Goos's occupation?,"[""astronomer"", ""physicist""]",10,10
Ek Yi Oun,occupation,4007034,politician,1750566,22,2834605,[],"[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q5350256,http://www.wikidata.org/entity/Q82955,Ek Yi Oun,Politician,447,25692,What is Ek Yi Oun's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",10,9
Meg McCall,occupation,5134878,politician,2270826,22,2834605,[],"[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q6808000,http://www.wikidata.org/entity/Q82955,Meg McCall,Politician,218,25692,What is Meg McCall's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",10,10
Felix Walker,occupation,549048,politician,223912,22,2834605,[],"[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q1403882,http://www.wikidata.org/entity/Q82955,Felix Walker (American politician),Politician,215,25692,What is Felix Walker's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",10,12
Stanley Peiris,occupation,5814752,composer,2602080,22,1189033,[],[],http://www.wikidata.org/entity/Q7599864,http://www.wikidata.org/entity/Q36834,Stanley Peiris,Composer,205,28389,What is Stanley Peiris's occupation?,"[""composer""]",8,14
Ruth Harriet Louise,occupation,392596,photographer,158044,22,1092260,"[""Ruth Jason"",""Ruth Goldstein""]","[""photog"",""photographers""]",http://www.wikidata.org/entity/Q129349,http://www.wikidata.org/entity/Q33231,Ruth Harriet Louise,Photographer,651,10855,What is Ruth Harriet Louise's occupation?,"[""photographer"", ""photog"", ""photographers""]",12,19
Jaclyn Stapp,occupation,1761978,model,779348,22,1353943,"[""Jaclyn Nesheiwat"",""Jaclyn Nesheiwat Stapp""]","[""fashion model"",""sitter"",""poser""]",http://www.wikidata.org/entity/Q2267067,http://www.wikidata.org/entity/Q4610556,Jaclyn Stapp,Model (person),3199,57327,What is Jaclyn Stapp's occupation?,"[""model"", ""fashion model"", ""sitter"", ""poser""]",5,12
Gerard Kennedy,occupation,381474,actor,153998,22,1114174,[],"[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q1283072,http://www.wikidata.org/entity/Q33999,Gerard Kennedy (actor),Actor,1922,81374,What is Gerard Kennedy's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",5,14
Ingrid Martinez,occupation,3780672,actor,1645985,22,1114174,[],"[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q516287,http://www.wikidata.org/entity/Q33999,Íngrid Martz,Actor,885,81374,What is Ingrid Martinez's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",5,15
Elisa Bridges,occupation,6392317,actor,2879080,22,1114174,"[""Elisa Rebeca Bridges""]","[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q905439,http://www.wikidata.org/entity/Q33999,Elisa Bridges,Actor,1312,81374,What is Elisa Bridges's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""Playboy Playmate"", ""Playmate""]",5,13
Ai,occupation,2951170,poet,1263372,22,1548606,"[""Ai Ogawa"",""Florence Anthony""]","[""poetess"",""bard""]",http://www.wikidata.org/entity/Q403146,http://www.wikidata.org/entity/Q49757,Ai (poet),Poet,994,16182,What is Ai's occupation?,"[""poet"", ""poetess"", ""bard""]",4,2
Clement Baker,occupation,3752840,politician,1631596,22,2834605,[],"[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q5131287,http://www.wikidata.org/entity/Q82955,Clement Baker,Politician,43,25692,What is Clement Baker's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",10,13
Derek Ingram Hill,occupation,3900281,priest,1702231,22,1291475,"[""Canon Derek Ingram Hill""]","[""reverend"",""priestess""]",http://www.wikidata.org/entity/Q5262072,http://www.wikidata.org/entity/Q42603,Derek Ingram Hill,Priest,54,20534,What is Derek Ingram Hill's occupation?,"[""priest"", ""reverend"", ""priestess""]",6,17
Andy C,occupation,2885537,record producer,1235945,22,620958,[],"[""music producer""]",http://www.wikidata.org/entity/Q387288,http://www.wikidata.org/entity/Q183945,Andy C,Record producer,2804,42844,What is Andy C's occupation?,"[""disc jockey"", ""DJ"", ""dee jay"", ""dj"", ""D.J."", ""disk jockey"", ""dee-jay"", ""deejay"", ""disquaire"", ""discaire"", ""record producer"", ""music producer""]",15,6
"Harvey Peltier, Sr.",occupation,839130,lawyer,357837,22,1263908,[],"[""attorney"",""solicitor"",""barrister"",""lawyers""]",http://www.wikidata.org/entity/Q16008268,http://www.wikidata.org/entity/Q40348,Harvey Peltier Sr.,Lawyer,103,43223,"What is Harvey Peltier, Sr.'s occupation?","[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",6,19
Paolo Pellizzari,occupation,5378331,photographer,2391567,22,1092260,[],"[""photog"",""photographers""]",http://www.wikidata.org/entity/Q7132229,http://www.wikidata.org/entity/Q33231,Paolo Pellizzari,Photographer,74,10855,What is Paolo Pellizzari's occupation?,"[""photographer"", ""photog"", ""photographers""]",12,16
Linden Ashby,occupation,3098902,actor,1321587,22,1114174,"[""Clarence Linden Garnett Ashby III""]","[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q447221,http://www.wikidata.org/entity/Q33999,Linden Ashby,Actor,13702,81374,What is Linden Ashby's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",5,12
Teddy Riley,occupation,6430975,record producer,2893937,22,620958,"[""Edward Theodore Riley"",""Street"",""Lil Man""]","[""music producer""]",http://www.wikidata.org/entity/Q927450,http://www.wikidata.org/entity/Q183945,Teddy Riley,Record producer,16203,42844,What is Teddy Riley's occupation?,"[""record producer"", ""music producer"", ""singer-songwriter"", ""singer songwriter"", ""singer/songwriter"", ""singersongwriter"", ""singer-songwriter""]",15,11
Christopher Butson,occupation,262900,priest,106064,22,1291475,"[""Christopher Henry Gould Butson""]","[""reverend"",""priestess""]",http://www.wikidata.org/entity/Q11805289,http://www.wikidata.org/entity/Q42603,Christopher Butson (priest),Priest,56,20534,What is Christopher Butson's occupation?,"[""priest"", ""reverend"", ""priestess""]",6,18
George Lewis,occupation,4218380,politician,1848887,22,2834605,[],"[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q5541705,http://www.wikidata.org/entity/Q82955,George Lewis (politician),Politician,68,25692,What is George Lewis's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",10,12
Jean-Marie-Victor Viel,occupation,1484274,architect,662588,22,1296792,"[""Jean Marie Victor Viel""]",[],http://www.wikidata.org/entity/Q19282479,http://www.wikidata.org/entity/Q42973,Jean-Marie-Victor Viel,Architect,74,28889,What is Jean-Marie-Victor Viel's occupation?,"[""architect""]",9,22
Jeremiah Smith,occupation,2101249,politician,920049,22,2834605,[],"[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q2734279,http://www.wikidata.org/entity/Q82955,Jeremiah Smith (lawyer),Politician,258,25692,What is Jeremiah Smith's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",10,14
Ya'akov Ahimeir,occupation,6220880,journalist,2806686,22,663400,[],"[""journo"",""journalists""]",http://www.wikidata.org/entity/Q8046206,http://www.wikidata.org/entity/Q1930187,Ya'akov Ahimeir,Journalist,131,24952,What is Ya'akov Ahimeir's occupation?,"[""journalist"", ""journo"", ""journalists""]",10,15
Yoshiki Tonogai,occupation,3835721,mangaka,1673785,22,657939,[],"[""manga artist""]",http://www.wikidata.org/entity/Q521706,http://www.wikidata.org/entity/Q191633,Yoshiki Tonogai,Manga artist,996,7223,What is Yoshiki Tonogai's occupation?,"[""mangaka"", ""manga artist""]",7,15
Anjali Sudhakar,occupation,3342671,actor,1435951,22,1114174,[],"[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q4765740,http://www.wikidata.org/entity/Q33999,Anjali Sudhakar,Actor,1632,81374,What is Anjali Sudhakar's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",5,15
Ernst Timme,occupation,4057234,farmer,1773516,22,167147,"[""Ernst Gerhardt Timme""]","[""agriculturist"",""grower"",""raiser"",""cultivator"",""agriculturer"",""farmer (occupation)""]",http://www.wikidata.org/entity/Q5395162,http://www.wikidata.org/entity/Q131512,Ernst Timme,Farmer,61,24195,What is Ernst Timme's occupation?,"[""farmer"", ""agriculturist"", ""grower"", ""raiser"", ""cultivator"", ""agriculturer"", ""farmer (occupation)"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",6,11
Jonathan Le Billon,occupation,4749534,actor,2088776,22,1114174,"[""Jonathan Keith Le Billon""]","[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q6273649,http://www.wikidata.org/entity/Q33999,Jonathan Le Billon,Actor,146,81374,What is Jonathan Le Billon's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",5,18
Donald Robert Macgregor,occupation,3939174,politician,1720098,22,2834605,[],"[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q5295071,http://www.wikidata.org/entity/Q82955,Donald Robert Macgregor,Politician,29,25692,What is Donald Robert Macgregor's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",10,23
